Primary identifier,Name,Literature identifier,Outcome
CID:63090,"3,4,5,3',4'-Pentachlorobiphenyl",DOI:10.1002/etc.5620140607,Cognitive-Behavioral
CID:6129,Carbaryl,DOI:10.1016/0013-9351(74)90039-5,Reproductive
CID:114896,"Dibenzo(b,e)(1,4)dioxin, 2-bromo-3,7,8-trichloro-",DOI:10.1016/0045-6535(91)90040-K,Cell damage
CID:183016,"Oxanthrene, 2,3,7-tribromo-8-chloro-",DOI:10.1016/0045-6535(91)90040-K,Cell damage
CID:39728,"Dibenzo(b,e)(1,4)dioxin, 2,3-dibromo-7,8-dichloro-",DOI:10.1016/0045-6535(91)90040-K,Cell damage
CID:39729,"2,3,7,8-Tetrabromodibenzo-4-dioxin",DOI:10.1016/0045-6535(92)90467-6,Cell damage
CID:23448,"2,4,4'-Trichlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:35823,"2,3',4,4',5-Pentachlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:35823,"2,3',4,4',5-Pentachlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:37034,"2,4,5,2',4',5'-Hexachlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:37034,"2,4,5,2',4',5'-Hexachlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:35823,"2,3',4,4',5-Pentachlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:35823,"2,3',4,4',5-Pentachlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:37034,"2,4,5,2',4',5'-Hexachlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:37034,"2,4,5,2',4',5'-Hexachlorobiphenyl",DOI:10.1093/icb/37.4.399,Thyroid
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Neurological
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:108023,"2,3',4,4'5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:42948,"2,4,5,2',4',5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:42948,"2,4,5,2',4',5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:108023,"2,3',4,4'5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Cancer
CID:42948,"2,4,5,2',4',5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Cancer
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:108023,"2,3',4,4'5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:42948,"2,4,5,2',4',5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:104942,"3,3',4,4',5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:108023,"2,3',4,4'5,5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:42948,"2,4,5,2',4',5'-Hexabromobiphenyl",DOI:10.3109/10915818209018016,Thyroid
CID:241,Benzene,DOI:10.3109/10915818909018060,"Cell damage, Immune"
CID:516900,Potassium perchlorate,DOI:10.3181/00379727-129-33367,Thyroid
CID:516900,Potassium perchlorate,DOI:10.3181/00379727-129-33367,Thyroid
CID:516900,Potassium perchlorate,DOI:10.3181/00379727-129-33367,Metabolic
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Neurological
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Neurological
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:38779,Profenofos,DOI:10.3923/ijp.2009.51.57,Reproductive
CID:6787,Dinonyl phthalate,ISSN:1738-642X,Reproductive
CID:6787,Dinonyl phthalate,ISSN:1738-642X,Tumors
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Reproductive
CID:86418,Imidacloprid,"Najafi GH. R., et al., 2010",Reproductive
