pmid,stage2,stage4
"PMID:111448","1","1"
"PMID:209990","1","1"
"PMID:347565","1","1"
"PMID:467058","1","1"
"PMID:496515","1","1"
"PMID:516075","1","1"
"PMID:556420","1","1"
"PMID:599594","1","1"
"PMID:608823","1","1"
"PMID:611632","1","1"
"PMID:626971","1","1"
"PMID:689578","1","1"
"PMID:708932","1","1"
"PMID:716159","1","1"
"PMID:793090","1","1"
"PMID:824186","1","1"
"PMID:846001","1","1"
"PMID:918990","1","1"
"PMID:974891","1","1"
"PMID:1080335","1","1"
"PMID:1080337","1","1"
"PMID:1151749","1","1"
"PMID:1154415","1","1"
"PMID:1168291","1","1"
"PMID:1288759","1","1"
"PMID:1316972","1","1"
"PMID:1332906","1","1"
"PMID:1340183","1","1"
"PMID:1455432","1","1"
"PMID:1459372","1","1"
"PMID:1506076","1","1"
"PMID:1537323","1","1"
"PMID:1591480","1","1"
"PMID:1601208","1","1"
"PMID:1601226","1","1"
"PMID:1658985","1","1"
"PMID:1675421","1","1"
"PMID:1690464","1","1"
"PMID:1702562","1","1"
"PMID:1726817","1","1"
"PMID:1794655","1","1"
"PMID:1836392","1","1"
"PMID:1903567","1","1"
"PMID:1909817","1","1"
"PMID:1935846","1","1"
"PMID:1949037","1","1"
"PMID:1977580","1","1"
"PMID:2005220","1","1"
"PMID:2010141","1","1"
"PMID:2017761","1","1"
"PMID:2043046","1","1"
"PMID:2055367","1","1"
"PMID:2092650","1","1"
"PMID:2106055","1","1"
"PMID:2113720","1","1"
"PMID:2258022","1","1"
"PMID:2258023","1","1"
"PMID:2318358","1","1"
"PMID:2344992","1","1"
"PMID:2363183","1","1"
"PMID:2389677","1","1"
"PMID:2401271","1","1"
"PMID:2423406","1","1"
"PMID:2447477","1","1"
"PMID:2466803","1","1"
"PMID:2501910","1","1"
"PMID:2606405","1","1"
"PMID:2606408","1","1"
"PMID:2675279","1","1"
"PMID:2714525","1","1"
"PMID:2764718","1","1"
"PMID:2767356","1","1"
"PMID:2807101","1","1"
"PMID:2815085","1","1"
"PMID:2824305","1","1"
"PMID:2885040","1","1"
"PMID:2899427","1","1"
"PMID:2916230","1","1"
"PMID:2996382","1","1"
"PMID:3135640","1","1"
"PMID:3184199","1","1"
"PMID:3199457","1","1"
"PMID:3229585","1","1"
"PMID:3352650","1","1"
"PMID:3371590","1","1"
"PMID:3388448","1","1"
"PMID:3458959","1","1"
"PMID:3508472","1","1"
"PMID:3564018","1","1"
"PMID:3591659","1","1"
"PMID:3593420","1","1"
"PMID:3607108","1","1"
"PMID:3662806","1","1"
"PMID:3676057","1","1"
"PMID:3688539","1","1"
"PMID:3712494","1","1"
"PMID:3761383","1","1"
"PMID:3803340","1","1"
"PMID:3827596","1","1"
"PMID:3881621","1","1"
"PMID:3931714","1","1"
"PMID:3937900","1","1"
"PMID:3938269","1","1"
"PMID:3975930","1","1"
"PMID:3996333","1","1"
"PMID:4032495","1","1"
"PMID:4035593","1","1"
"PMID:4039799","1","1"
"PMID:4065311","1","1"
"PMID:4082073","1","1"
"PMID:4092642","1","1"
"PMID:4093994","1","1"
"PMID:4177895","1","1"
"PMID:4213067","1","1"
"PMID:4283679","1","1"
"PMID:4293143","1","1"
"PMID:4346985","1","1"
"PMID:4372993","1","1"
"PMID:4651163","1","1"
"PMID:4833816","1","1"
"PMID:5813270","1","1"
"PMID:6122172","1","1"
"PMID:6223748","1","1"
"PMID:6230523","1","1"
"PMID:6302948","1","1"
"PMID:6352433","1","1"
"PMID:6433129","1","1"
"PMID:6451681","1","1"
"PMID:6458924","1","1"
"PMID:6464017","1","1"
"PMID:6474486","1","1"
"PMID:6479500","1","1"
"PMID:6489289","1","1"
"PMID:6499822","1","1"
"PMID:6612740","1","1"
"PMID:6636195","1","1"
"PMID:6648426","1","1"
"PMID:6661580","1","1"
"PMID:6683584","1","1"
"PMID:6684620","1","1"
"PMID:6701900","1","1"
"PMID:6723515","1","1"
"PMID:6777907","1","1"
"PMID:6829046","1","1"
"PMID:6845349","1","1"
"PMID:6845374","1","1"
"PMID:6868082","1","1"
"PMID:7123565","1","1"
"PMID:7128453","1","1"
"PMID:7151764","1","1"
"PMID:7233432","1","1"
"PMID:7233451","1","1"
"PMID:7251397","1","1"
"PMID:7292493","1","1"
"PMID:7420485","1","1"
"PMID:7423533","1","1"
"PMID:7433862","1","1"
"PMID:7444965","1","1"
"PMID:7497912","1","1"
"PMID:7540336","1","1"
"PMID:7579910","1","1"
"PMID:7623741","1","1"
"PMID:7645025","1","1"
"PMID:7662587","1","1"
"PMID:7663078","1","1"
"PMID:7672011","1","1"
"PMID:7746793","1","1"
"PMID:7749267","1","1"
"PMID:7767025","1","1"
"PMID:7813982","1","1"
"PMID:7900160","1","1"
"PMID:7920900","1","1"
"PMID:7923161","1","1"
"PMID:7925178","1","1"
"PMID:7935259","1","1"
"PMID:7974495","1","1"
"PMID:8050642","1","1"
"PMID:8062636","1","1"
"PMID:8134923","1","1"
"PMID:8182612","1","1"
"PMID:8183191","1","1"
"PMID:8199261","1","1"
"PMID:8207012","1","1"
"PMID:8209386","1","1"
"PMID:8248944","1","1"
"PMID:8314462","1","1"
"PMID:8318751","1","1"
"PMID:8318755","1","1"
"PMID:8360940","1","1"
"PMID:8392556","1","1"
"PMID:8427017","1","1"
"PMID:8434444","1","1"
"PMID:8442021","1","1"
"PMID:8480328","1","1"
"PMID:8480329","1","1"
"PMID:8516785","1","1"
"PMID:8521242","1","1"
"PMID:8593856","1","1"
"PMID:8603933","1","1"
"PMID:8619245","1","1"
"PMID:8661355","1","1"
"PMID:8705295","1","1"
"PMID:8725639","1","1"
"PMID:8812207","1","1"
"PMID:8812251","1","1"
"PMID:8821744","1","1"
"PMID:8829248","1","1"
"PMID:8847449","1","1"
"PMID:8876656","1","1"
"PMID:8919768","1","1"
"PMID:8933632","1","1"
"PMID:8935785","1","1"
"PMID:8989890","1","1"
"PMID:9007049","1","1"
"PMID:9009508","1","1"
"PMID:9020505","1","1"
"PMID:9037260","1","1"
"PMID:9060381","1","1"
"PMID:9061850","1","1"
"PMID:9100293","1","1"
"PMID:9114295","1","1"
"PMID:9138633","1","1"
"PMID:9146736","1","1"
"PMID:9168009","1","1"
"PMID:9176554","1","1"
"PMID:9177011","1","1"
"PMID:9207897","1","1"
"PMID:9233383","1","1"
"PMID:9241039","1","1"
"PMID:9241670","1","1"
"PMID:9242589","1","1"
"PMID:9276643","1","1"
"PMID:9284533","1","1"
"PMID:9311576","1","1"
"PMID:9370515","1","1"
"PMID:9398496","1","1"
"PMID:9417843","1","1"
"PMID:9431574","1","1"
"PMID:9449244","1","1"
"PMID:9449681","1","1"
"PMID:9460176","1","1"
"PMID:9460178","1","1"
"PMID:9472934","1","1"
"PMID:9494062","1","1"
"PMID:9571984","1","1"
"PMID:9620544","1","1"
"PMID:9628555","1","1"
"PMID:9679117","1","1"
"PMID:9726532","1","1"
"PMID:9734720","1","1"
"PMID:9751521","1","1"
"PMID:9757872","1","1"
"PMID:9765071","1","1"
"PMID:9828346","1","1"
"PMID:9831078","1","1"
"PMID:10064545","1","1"
"PMID:10091860","1","1"
"PMID:10097800","1","1"
"PMID:10188188","1","1"
"PMID:10188190","1","1"
"PMID:10188193","1","1"
"PMID:10188194","1","1"
"PMID:10210696","1","1"
"PMID:10220851","1","1"
"PMID:10220852","1","1"
"PMID:10330683","1","1"
"PMID:10366543","1","1"
"PMID:10377036","1","1"
"PMID:10397250","1","1"
"PMID:10467719","1","1"
"PMID:10492900","1","1"
"PMID:10496380","1","1"
"PMID:10548101","1","1"
"PMID:10550527","1","1"
"PMID:10568697","1","1"
"PMID:10597890","1","1"
"PMID:10614638","1","1"
"PMID:10627660","1","1"
"PMID:10630580","1","1"
"PMID:10641015","1","1"
"PMID:10647918","1","1"
"PMID:10682936","1","1"
"PMID:10696778","1","1"
"PMID:10737536","1","1"
"PMID:10737721","1","1"
"PMID:10739067","1","1"
"PMID:10746934","1","1"
"PMID:10746939","1","1"
"PMID:10746942","1","1"
"PMID:10746943","1","1"
"PMID:10762434","1","1"
"PMID:10773841","1","1"
"PMID:10825674","1","1"
"PMID:10828210","1","1"
"PMID:10828501","1","1"
"PMID:10839476","1","1"
"PMID:10856028","1","1"
"PMID:10860870","1","1"
"PMID:10876997","1","1"
"PMID:10906426","1","1"
"PMID:10908838","1","1"
"PMID:10910998","1","1"
"PMID:10919282","1","1"
"PMID:10924338","1","1"
"PMID:10966521","1","1"
"PMID:10974597","1","1"
