"cid_or_cas","chem","cas","cid","category"
"3117","Disulfiram","97-77-8","3117","I"
"3672","Ibuprofen","15687-27-1","3672","I"
"7280","1,2-Dibromo-3-chloropropane","96-12-8","7280","I"
"15939","Paraquat","4685-14-7","15939","I"
"123351","Perchlorate","14797-73-0","123351","I"
"448537","Diethylstilbestrol","56-53-1","448537","I"
"11626560","Crizotinib","877399-52-5","11626560","I"
"16129698","Detirelix","89662-30-6","16129698","I"
"299","Chlordecone","143-50-0","299","II"
"319-85-7","beta-Hexachlorocyclohexane","319-85-7","727","II"
"58-89-9","Lindane","58-89-9","727","II"
"992","Pentachlorophenol","87-86-5","992","II"
"1483","2,4,6-Tribromophenol","118-79-6","1483","II"
"1674","Methylcholanthrene","56-49-5","1674","II"
"1752","4-Nonylphenol","104-40-5","1752","II"
"1983","Acetaminophen","103-90-2","1983","II"
"1988","Acetochlor","34256-82-1","1988","II"
"2256","Atrazine","1912-24-9","2256","II"
"2286","Bisphenol A diglycidyl ether","1675-54-3","2286","II"
"2336","Benzo(a)pyrene","50-32-8","2336","II"
"2347","Butyl benzyl phthalate","85-68-7","2347","II"
"2519","Caffeine","58-08-2","2519","II"
"2566","Carbofuran","1563-66-2","2566","II"
"2912","Cypermethrin","52315-07-8","2912","II"
"3017","Diazinon","333-41-5","3017","II"
"3026","Dibutyl phthalate","84-74-2","3026","II"
"3035","Dichlorodiphenyl dichloroethylene","72-55-9","3035","II"
"3036","Chlorophenothane","50-29-3","3036","II"
"3224","Endosulfan","115-29-7","3224","II"
"3347","Fenvalerate","51630-58-1","3347","II"
"3386","Fluoxetine","54910-89-3","3386","II"
"3496","Glyphosate","1071-83-6","3496","II"
"4004","Malathion","121-75-5","4004","II"
"4115","Methoxychlor","72-43-5","4115","II"
"4632","Benzophenone-3","131-57-7","4632","II"
"5216","Simazine","122-34-9","5216","II"
"5564","5-Chloro-2-(2,4-dichlorophenoxy)phenol","3380-34-5","5564","II"
"5833","Spironolactone","52-01-7","5833","II"
"5991","Ethinylestradiol","57-63-6","5991","II"
"5993","Chlordane","12789-03-6","5993","II"
"6294","Dichlorodiphenyldichloroethane","72-54-8","6294","II"
"6358","2-Bromopropane","75-26-3","6358","II"
"6507","Tributyl citrate","77-94-1","6507","II"
"6575","Trichloroethylene","79-01-6","6575","II"
"6618","Tetrabromobisphenol A","79-94-7","6618","II"
"6619","2,2',6,6'-Tetrachlorobisphenol A","79-95-8","6619","II"
"6623","Bisphenol A","80-05-7","6623","II"
"6626","Bis(4-hydroxyphenyl)sulfone","80-09-1","6626","II"
"6777","Dicyclohexyl phthalate","84-61-7","6777","II"
"6781","Diethyl phthalate","84-66-2","6781","II"
"6782","Diisobutyl phthalate","84-69-5","6782","II"
"6787","Dinonyl phthalate","84-76-4","6787","II"
"7103","4-Phenylphenol","92-69-3","7103","II"
"7184","Butyl p-hydroxybenzoate","94-26-8","7184","II"
"7393","Butylphen","98-54-4","7393","II"
"7456","Methyl p-hydroxybenzoate","99-76-3","7456","II"
"7547","Triclocarban","101-20-2","7547","II"
"7577","4,4'-Diaminodiphenylmethane","101-77-9","7577","II"
"8289","Triphenyl phosphate","115-86-6","8289","II"
"8295","Tris(2-chloroethyl) phosphate","115-96-8","8295","II"
"8343","Bis(2-ethylhexyl) phthalate","117-81-7","8343","II"
"8361","Phenyl salicylate","118-55-8","8361","II"
"8362","Homosalate","118-56-9","8362","II"
"8363","Benzyl salicylate","118-58-1","8363","II"
"8370","Hexachlorobenzene","118-74-1","8370","II"
"8434","Ethyl 4-hydroxybenzoate","120-47-8","8434","II"
"8449","2,4-Dichlorophenol","120-83-2","8449","II"
"8571","Benzophenone-2","131-55-5","8571","II"
"8572","2,4-Dihydroxybenzophenone","131-56-6","8572","II"
"8575","Monobutyl phthalate","131-70-4","8575","II"
"8814","4-tert-Octylphenol","140-66-9","8814","II"
"9322","Thiocyanate","302-04-5","9322","II"
"9554","Perfluorooctanoic acid","335-67-1","9554","II"
"9555","Perfluorodecanoic acid","335-76-2","9555","II"
"12111","4,4'-Bisphenol F","620-92-8","12111","II"
"12251","Methoxyacetic acid","625-45-6","12251","II"
"12540","Triphenyltin chloride","639-58-7","12540","II"
"13089","o,p'-DDT","789-02-6","13089","II"
"13700","Octylphenol","67554-50-1","13700","II"
"14410","Decabromobiphenyl ether","1163-19-5","14410","II"
"14888","Arsenic trioxide","1327-53-3","14888","II"
"15096","Tributylchlorostannane","1461-22-9","15096","II"
"15625","Tetrachlorodibenzodioxin","1746-01-6","15625","II"
"15730","4-Octylphenol","1806-26-4","15730","II"
"15787","Nitrofen","1836-75-5","15787","II"
"16248","Methiocarb","2032-65-7","16248","II"
"20161","Isopropylparaben","4191-73-5","20161","II"
"20240","Isobutyl p-hydroxybenzoate","4247-02-3","20240","II"
"20393","Mono-(2-ethylhexyl)phthalate","4376-20-9","20393","II"
"21630","2-Ethylhexyl methoxycinnamate","5466-77-3","21630","II"
"23448","2,4,4'-Trichlorobiphenyl","7012-37-5","23448","II"
"23973","Cadmium","7440-43-9","23973","II"
"24085","Mercuric chloride","7487-94-7","24085","II"
"24667","Butylated hydroxyanisole","25013-16-5","24667","II"
"24947","Cadmium chloride","10108-64-2","24947","II"
"25015","Trenbolone","10161-33-8","25015","II"
"25429","Carbendazim","10605-21-7","25429","II"
"25517","Ammonium chloride","12125-02-9","25517","II"
