"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"(+)-mono-1-tert-butyl-3-methylbutyl-phthalate",,"109591-02-8","Lampen A, Zimnik S, Nau H. 2003. Teratogenic phthalate esters and metabolites activate the nuclear receptors PPARs and induce differentiation of F9 cells. Toxicol Appl Pharmacol 188(1):14-23. DOI: 10.1016/S0041-008X(03)00014-0. URL: https://www.sciencedirect.com/science/article/pii/S0041008X03000140",,"Corton JC, Lapinskas PJ. 2005. Table 3 In: Peroxisome proliferator-activated receptors: Mediators of phthalate ester-induced effects in the male reproductive tract? Toxicol Sci 83(1):4-17. DOI: 10.1093/toxsci/kfi011. URL: https://academic.oup.com/toxsci/article/83/1/4/1658906  Lampen A, Zimnik S, Nau H. 2003. Teratogenic phthalate esters and metabolites activate the nuclear receptors PPARs and induce differentiation of F9 cells. Toxicol Appl Pharmacol 188(1):14-23. DOI: 10.1016/S0041-008X(03)00014-0. URL: https://www.sciencedirect.com/science/article/pii/S0041008X03000140","07/15/2011","09/18/2017",,,
"(4-nonylphenoxy)acetic acid","NP1EC; 4-nonylphenoxyacetic acid; 2-(4-nonylphenoxy)acetic acid; 4-nonylphenoxycarboxylic acid; 4-nonylphenol carboxylic acid; (p-nonylphenoxy)acetic acid","3115-49-9","Jobling S, Sheahan D, Osborne JA, Matthiessen P, Sumpter JP. 1996. Inhibition of testicular growth in rainbow trout (Oncorhynchus mykiss) exposed to estrogenic alkylphenolic chemicals.  Environ Toxicol Chem 15(2):194-202. DOI: 10.1002/etc.5620150218. URL: http://onlinelibrary.wiley.com/doi/10.1002/etc.5620150218/abstract  Jobling S, Sumpter JP. 1993. Detergent components in sewage effluent are weakly oestrogenic to fish:  An in vitro study using rainbow trout (Oncorhynchus mykiss) hepatocytes. Aquatic Toxicology 27(3-4):361-372. DOI: 10.1016/0166-445X(93)90064-8. URL: https://www.sciencedirect.com/science/article/pii/0166445X93900648  White R, Jobling S, Hoare SA, Sumpter JP, Parker MG. 1994. Environmentally persistent alkylphenolic compounds are estrogenic. Endocrinology 135(1):175-182. DOI: 10.1210/endo.135.1.8013351. URL: https://academic.oup.com/endo/article-abstract/135/1/175/3035834?redirectedFrom=fulltext","Household product ingredient, Pesticide ingredient","Dow Chemical Co. 2010 Oct 11. Nonylphenol Ethoxylate Surfactants. URL: http://msdssearch.dow.com/PublishedLiteratureDOWCOM/dh_07f3/0901b803807f336c.pdf?filepath=productsafety/pdfs/noreg/233-00257.pdf&fromPage=GetDoc  White R, Jobling S, Hoare SA, Sumpter JP, Parker MG. 1994. Environmentally persistent alkylphenolic compounds are estrogenic. Endocrinology 135(1):175-182. DOI: 10.1210/endo.135.1.8013351. URL: https://academic.oup.com/endo/article-abstract/135/1/175/3035834?redirectedFrom=fulltext","05/05/2011","07/11/2016",,,
"(E)-crotonaldehyde","E-2-butenal; crotonaldehyde","123-73-9","Grundfest CC, Chang J, Newcombe D. 1982. Acrolein: a potent modulator of lung macrophage arachidonic acid metabolism. Biochim Biophys Acta 713(1):149-159. DOI: 10.1016/0005-2760(82)90177-1. URL: https://www.sciencedirect.com/science/article/pii/0005276082901771  Jha AM, Kumar M. 2006. In vivo evaluation of induction of abnormal sperm morphology in mice by an unsaturated aldehyde crotonaldehyde. Mutat Res 603(2):159-163. DOI: 10.1016/j.mrgentox.2005.11.010. URL: https://www.sciencedirect.com/science/article/pii/S1383571805002962?via%3Dihub","Byproduct/Intermediate/Reactant, Food additives and contact material, Household product ingredient, Pesticide ingredient, Plastic/Rubber, Solvent, Unconventional Oil and Gas","US National Library of Medicine. Hazardous Substances Data Bank. URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB  Waxman HA, Markey EJ, and DeGette D. 2011. Chemicals used in hydraulic fracturing. United States House of Representatives Committee on Energy and Commerce Minority Staff. URL: https://hero.epa.gov/hero/index.cfm/reference/details/reference_id/2079174","03/22/2017","03/22/2017",,,
"1-hydroxy-2,4,7,8-tetrachlorodibenzofuran",,,"Kester MH, Bulduk S, van Toor H, Tibboel D, Meinl W, Glatt H, Falany CN, Coughtrie MW, Schuur AG, Brouwer A, Visser TJ. 2002. Potent inhibition of estrogen sulfotransferase by hydroxylated metabolites of polyhalogenated aromatic hydrocarbons reveals alternative mechanism for estrogenic activity of endocrine disrupters. J Clin Endocrinol Metab 87(3):1142-1150. DOI: 10.1210/jcem.87.3.8311. URL: https://academic.oup.com/jcem/article/87/3/1142/2846988","Metabolite/Degradate","Kester MH, Bulduk S, van Toor H, Tibboel D, Meinl W, Glatt H, Falany CN, Coughtrie MW, Schuur AG, Brouwer A and Visser TJ. 2002. Potent inhibition of estrogen sulfotransferase by hydroxylated metabolites of polyhalogenated aromatic hydrocarbons reveals alternative mechanism for estrogenic activity of endocrine disrupters. Journal of Clinical Endocrinology and Metabolism 87(3): 1142-1150. DOI: 10.1210/jcem.87.3.8311. URL: https://academic.oup.com/jcem/article/87/3/1142/2846988","01/20/2017","01/20/2017",,,
"1-hydroxyanthraquinone","1-hATQ","129-43-1","Kurihara R, Shiraishi F, Tanaka N, Hashimoto S. 2005. Presence and estrogenicity of anthracene derivatives in coastal Japanese waters. Environ Toxicol Chem 24(8):1984-1993. DOI: 10.1897/04-310R.1. URL: http://onlinelibrary.wiley.com/doi/10.1897/04-310R.1/abstract","Byproduct/Intermediate/Reactant","US National Library of Medicine. Hazardous Substances Data Bank.  URL: http://toxnet.nlm.nih.gov/cgi-bin/sis/htmlgen?HSDB","01/20/2017","01/20/2017",,,
"1-hydroxybenzo[a]pyrene","1-OH-B[a]P","13345-23-8","Fertuck KC, Matthews JB, Zacharewski TR. 2001. Hydroxylated benzo[a]pyrene metabolites are responsible for in vitro estrogen receptor-mediated gene expression induced by benzo[a]pyrene, but do not elicit uterotrophic effects in vivo. Toxicol Sci 59(2):231-240. DOI: 10.1093/toxsci/59.2.231. URL: https://academic.oup.com/toxsci/article/59/2/231/1667180  van Lipzig MM, Vermeulen NP, Gusinu R, Legler J, Frank H, Seidel A, Meerman JH. 2005. Formation of estrogenic metabolites of benzo[a]pyrene and chrysene by cytochrome P450 activity and their combined and supra-maximal estrogenic activity. Environ Toxicol Pharmacol 19(1):41-55. DOI: 10.1016/j.etap.2004.03.010. URL: https://www.sciencedirect.com/science/article/pii/S1382668904001279","Metabolite/Degradate","Fertuck KC, Matthews JB and Zacharewski TR. 2001. Hydroxylated benzo[a]pyrene metabolites are responsible for in vitro estrogen receptor-mediated gene expression induced by benzo[a]pyrene, but do not elicit uterotrophic effects in vivo. Toxicol Sci 59(2): 231-240. DOI: 10.1093/toxsci/59.2.231. URL: https://academic.oup.com/toxsci/article/59/2/231/1667180  van Lipzig MM, Vermeulen NP, Gusinu R, Legler J, Frank H, Seidel A and Meerman JH. 2005. Formation of estrogenic metabolites of benzo[a]pyrene and chrysene by cytochrome  P450 activity and their combined and supra-maximal estrogenic activity. Environ Toxicol Pharmacol 19(1): 41-55. DOI: 10.1016/j.etap.2004.03.010. URL: https://www.sciencedirect.com/science/article/pii/S1382668904001279?via%3Dihub","01/20/2017","01/20/2017",,,
"1-hydroxychlordene"," ","2597-11-7","Soto AM, Sonnenschein C, Chung KL, Fernandez MF, Olea N, Serrano FO. 1995. The E-SCREEN assay as a tool to identify estrogens: An update on estrogenic environmental pollutants. Environ Health Perspect 103 (Suppl. 7):113-122. DOI: 10.2307/3432519 . URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1518887/","Metabolite/Degradate","ATSDR. 2007. Toxicological Profile for Heptachlor and Heptachlor Epoxide. URL: http://www.atsdr.cdc.gov/toxprofiles/tp12.pdf","05/05/2011","05/05/2011",,,
"1-hydroxychrysene","1-OHCHN","63019-38-5","van Lipzig MM, Vermeulen NP, Gusinu R, Legler J, Frank H, Seidel A, Meerman JH. 2005. Formation of estrogenic metabolites of benzo[a]pyrene and chrysene by cytochrome P450 activity and their combined and supra-maximal estrogenic activity. Environ Toxicol Pharmacol 19(1):41-55. DOI: 10.1016/j.etap.2004.03.010. URL: https://www.sciencedirect.com/science/article/pii/S1382668904001279","Metabolite/Degradate","van Lipzig MM, Vermeulen NP, Gusinu R, Legler J, Frank H, Seidel A and Meerman JH. 2005. Formation of estrogenic metabolites of benzo[a]pyrene and chrysene by cytochrome  P450 activity and their combined and supra-maximal estrogenic activity. Environ Toxicol Pharmacol 19(1): 41-55. DOI: 10.1016/j.etap.2004.03.010. URL: https://www.sciencedirect.com/science/article/pii/S1382668904001279?via%3Dihub","01/20/2017","01/20/2017",,,
"1-hydroxypyrene"," ","5315-79-7","Jin L, Tran DQ, Ide CF, McLachlan JA, Arnold SF. 1997. Several synthetic chemicals inhibit progesterone receptor-mediated transactivation in yeast. Biochemical & Biophysical Research Communications 233(1):139-146. DOI: 10.1006/bbrc.1997.6417. URL: https://www.sciencedirect.com/science/article/pii/S0006291X97964172","Metabolite/Degradate","Jongeneelen FJ. 2001. Benchmark guideline for urinary 1-hydroxypyrene as biomarker of occupational exposure to polycyclic aromatic hydrocarbons. Ann Occup Hyg 45(1):3-13. DOI: 10.1016/S0003-4878(00)00009-0. URL: http://www.industox.nl/AnnOccupHyg452001FJ.PDF","05/05/2011","05/05/2011",,,
"1-iodoperfluorohexane","PFHxI","355-43-1","Wang C, Wang T, Liu W, Ruan T, Zhou Q, Liu J, Zhang A, Zhao B, Jiang G. 2012. The in vitro estrogenic activities of polyfluorinated iodine alkanes. Environ Health Perspect 120(1):119-125. DOI: 10.1289/ehp.1103773. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261944/","Byproduct/Intermediate/Reactant","Wang C, Wang T, Liu W, Ruan T, Zhou Q, Liu J, Zhang A, Zhao B and Jiang G. 2012. The in vitro estrogenic activities of polyfluorinated iodine alkanes. Environ Health Perspect 120(1):119-125. DOI: 10.1289/ehp.1103773. URL: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3261944/","01/20/2017","01/20/2017",,,
