pmid,cid,chem,outcome
35654127,17412, 3-Methyl-4-Nitrophenol,"Reproductive, Genetic"
35093747,1905602,"9-(nonafluorobutyl)-2,3,6,7-tetrahydro-1H,5H,11H-pyrano[2,3-f]pyrido[3,2,1-ij]quinolin-11-one","Reproductive, Genetic"
36035158,3035,Dichlorodiphenyldichloroethylene,Genetic
31996892,11524680,"1,2-cyclohexane dicarboxylic acid di-isononyl ester",Reproductive
35861430,11524680,"1,2-Cyclohexane Dicarboxylic Acid Diisononyl Ester",Metabolic
33848595,18728,"1,2-dibromo-4-(1,2 dibromoethyl)cyclohexane",Reproductive
32559636,37807,"1,2,4-trichloro-5-(2,5-dichlorophenyl)benzene (PCB 101)",Reproductive
35093747,74311,2-(heptafluoropropyl)- 3-phenylquinoxaline,"Reproductive, Genetic"
34332300,22286931,2-(N-methyl-perfluorooctane sulfonamido) acetate,Pregnancy
32278140,14716,2-ethylhexyl diphenyl phosphate,Cancer
33049558,14716,2-Ethylhexyl diphenyl phosphate,Cancer
34826089,87768,2-hydroxy-4-methoxy benzophenone,"Pregnancy, Developmental"
33149638,46781810,2-hydroxyfluorene,Metabolic
33149638,67041,2-naphthol,Metabolic
32898782,9921445,2-tert-octylphenol,Metabolic
34370853,95170,"2, 2', 4, 4'-tetrabromodiphenyl ether (BDE-47)",Adrenal
31927367,95170,"2, 2', 4, 4'-tetrabromodiphenyl ether (BDE-47)",Cell damage
33582604,95170,"2, 2', 4, 4'-tetrabromodiphenyl ether (BDE-47)",Reproductive
33065364,95170,"2, 2', 4, 4'-tetrabromodiphenyl ether (BDE-47)",Reproductive
32496146,79717,"2,2-bis(4-hydroxy-3,5-dimethylphenyl)propane",Thyroid
35093747,3668137,"2,2,3,3,4,4,5,5,5-nonafluoro-N-(4-nitrophenyl)pentanamide","Reproductive, Genetic"
34332300,37251,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl (PCB 194)",Pregnancy
33497679,644183,"2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB 180)",Metabolic
32559636,644183,"2,2',3,4,4',5,5'-Heptachlorobiphenyl (PCB 180)",Reproductive
33497679,37035,"2,2',3,4,4',5'-Hexachlorobiphenyl (PCB 138)",Metabolic
32559636,37035,"2,2',3,4,4',5'-Hexachlorobiphenyl (PCB 138)",Reproductive
34474298,37035,"2,2',3,4,4',5'-Hexachlorobiphenyl (PCB 138)",Reproductive
32526315,37035,"2,2',3,4,4',5'-Hexachlorobiphenyl (PCB 138)",Reproductive
31285767,95170,"2,2',4,4'- tetrabromodiphenyl ether (BDE 47)",Neurological
33049448,95170,"2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",Cell damage
34742755,95170,"2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",Genetic
21394737,95170,"2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",Genetic
34425642,95170,"2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",Metabolic
35202279,95170,"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",Neurological
33554574,95170,"2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",Pregnancy
35238255,95170,"2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",Reproductive
35875604,95170,"2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",Reproductive
23146758,95170,"2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",Reproductive
33582604,36159,"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",Reproductive
34425642,36159,"2,2',4,4',5-Pentabromodiphenyl ether (BDE-99)",Metabolic
32276222,38013,"2,2',4,4',5-Pentachlorobiphenyl (PCB 99)",Cancer
25738596,155166,"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",Metabolic
34425642,155166,"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE-153)",Metabolic
32444626,155166,"2,2',4,4',5,5'-Hexachlorobiphenyl (PBB 153)",Reproductive
35887249,155166,"2,2',4,4',5,5'-Hexachlorobiphenyl (PCB 153)",Cancer
26903627,155166,"2,2',4,4',5,5'-Hexachlorobiphenyl (PCB 153)",Cell damage
17049763,155166,"2,2',4,4',5,5'-hexachlorobiphenyl (PCB 153)",Cell damage
33497679,155166,"2,2',4,4',5,5'-Hexachlorobiphenyl (PCB 153)",Metabolic
33059283,155166,"2,2',4,4',5,5'-hexachlorobiphenyl (PCB 153)",Metabolic
32559636,155166,"2,2',4,4',5,5'-Hexachlorobiphenyl (PCB 153)",Reproductive
32526315,155166,"2,2',4,4',5,5'-Hexachlorobiphenyl (PCB 153)",Reproductive
34985836,155166,"2,2',4,4',5,5'-hexachlorobiphenyl (PCB 153)","Reproductive, Cell damage"
35123963,15509898,"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",Genetic
33582604,36159,"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",Reproductive
33149271,36647,"2,2',4,4',6,6'-Hexachlorobiphenyl (PCB 155)",Skeletal
